source_folder,source_image,class_name,detected_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_side,padded_left,padded_top,padded_right,padded_bottom,output_path,status,error_message
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,27951228903_df9a031148_o.jpg,fire,0.124255,3159.2,37.69,4745.57,3055.15,5030,0,969,1715,893,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\27951228903_df9a031148_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,35531876743_9c1021daa1_o.jpg,fire,0.064018,5.03,60.19,2385.87,2514.42,4091,850,758,0,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\35531876743_9c1021daa1_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,36340632405_e86618c319_o.jpg,fire,0.072964,3140.73,693.3,5204.7,3444.32,4586,0,224,1106,774,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\36340632405_e86618c319_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,44157780801_75cfd1055d_o.jpg,fire,0.360681,444.08,1956.62,2247.95,2671.86,3008,158,0,0,986,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\44157780801_75cfd1055d_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,44918084214_6d2dbae389_o.jpg,fire,0.141675,3657.38,777.15,6000.0,2217.22,3905,0,455,781,74,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\44918084214_6d2dbae389_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,50230071932_71e567c7de_o.jpg,fire,0.063377,530.03,1766.59,1166.57,2258.88,1062,0,0,0,0,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\50230071932_71e567c7de_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,50240969486_68848f66e4_o.jpg,fire,0.138741,288.96,192.63,1616.0,697.43,2213,154,661,443,471,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\50240969486_68848f66e4_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,50295006206_a6250175c7_o.jpg,fire,0.285645,40.55,3093.2,4619.97,3974.91,7634,1486,283,147,3351,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\50295006206_a6250175c7_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,50380768992_7f5ef90a0c_o.jpg,fire,0.066198,179.97,1265.47,1365.76,2221.3,1978,216,0,0,464,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\50380768992_7f5ef90a0c_o_512.jpg,success,
C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\测试集fire,51685361523_6215c6cded_o.jpg,fire,0.051078,3187.81,1362.98,4589.98,2574.45,2338,0,0,450,546,C:\Users\Administrator\Desktop\机器学习版本记录\自动剪切模型\outputs\batch_20260406_103742\fire_512\51685361523_6215c6cded_o_512.jpg,success,
