filename,folder,label,brightness_mean,brightness_std,brightness_max,brightness_min,brightness_p95,block_mean_var,block_mean_max,block_mean_min,block_top3_mean,bright_block_count,bright_pixel_ratio,connected_component_count,largest_component_area,largest_component_ratio,sobel_mean,laplacian_var,rgb_r_mean,rgb_g_mean,rgb_b_mean
1,light,1,97.87213134765625,23.929649353027344,249.0,43.0,145.0,459.51910400390625,142.85858154296875,63.52592468261719,139.2129669189453,0.0,0.0008370535714285714,12.0,19.0,0.0003786670918367347,34.55208206176758,568.0010986328125,84.72881317138672,99.67288970947266,123.15383911132812
2,light,1,99.18157958984375,28.469018936157227,247.0,41.0,156.0,667.80908203125,152.53826904296875,59.69679641723633,148.1598358154297,0.0,0.0011160714285714285,26.0,15.0,0.00029894770408163266,39.92518997192383,656.20556640625,96.33428192138672,97.51873779296875,115.30121612548828
3,light,1,98.30911254882812,20.172653198242188,246.0,49.0,140.0,302.4563293457031,143.81919860839844,70.18814849853516,133.59429931640625,0.0,0.0007573341836734694,13.0,21.0,0.0004185267857142857,32.57438659667969,555.9686279296875,88.94569396972656,100.97257995605469,109.29206848144531
4,light,1,102.82402038574219,20.82904624938965,230.0,61.0,147.0,329.2923889160156,148.4241943359375,79.56404876708984,139.2353973388672,0.0,0.0015345982142857143,28.0,10.0,0.0001992984693877551,31.170923233032227,474.6789245605469,79.97050476074219,114.24830627441406,104.00617980957031
5,light,1,94.80026245117188,18.52797508239746,234.0,54.0,133.0,247.3328094482422,138.11061096191406,74.02479553222656,125.73149871826172,0.0,0.0011559311224489796,12.0,25.0,0.0004982461734693878,29.227863311767578,393.0096435546875,77.86499786376953,101.49330139160156,104.8221664428711
6,light,1,96.39807891845703,18.3315486907959,227.0,54.0,134.0,222.0518341064453,134.0439453125,76.72525024414062,125.38042449951172,0.0,0.0011160714285714285,13.0,22.0,0.0004384566326530612,33.08348083496094,486.9326477050781,79.69590759277344,105.2549057006836,94.63014221191406
7,light,1,71.91178894042969,20.744401931762695,247.0,19.0,117.0,337.8681335449219,126.195556640625,55.145957946777344,113.64411163330078,0.0,0.0006576849489795918,8.0,22.0,0.0004384566326530612,26.02281379699707,342.56158447265625,59.722476959228516,78.87342834472656,67.98262023925781
8,light,1,80.25729370117188,20.370317459106445,248.0,17.0,125.0,318.289794921875,134.67901611328125,63.594444274902344,120.34518432617188,0.0,0.0011160714285714285,10.0,25.0,0.0004982461734693878,25.913230895996094,349.8436584472656,65.18190002441406,88.8027114868164,75.74071502685547
9,light,1,85.64961242675781,20.058712005615234,249.0,14.0,130.0,309.82757568359375,139.6849365234375,69.89545440673828,125.69185638427734,0.0,0.0013552295918367347,16.0,28.0,0.0005580357142857143,26.16813087463379,349.888427734375,67.24687194824219,94.34925079345703,89.39215850830078
10,light,1,82.2197036743164,21.760221481323242,242.0,29.0,131.0,369.24334716796875,138.43605041503906,64.75757598876953,126.36246490478516,0.0,0.0013751594387755102,16.0,27.0,0.0005381058673469387,27.994701385498047,425.2147521972656,66.61778259277344,87.3642349243164,96.62551879882812
11,light,1,60.511619567871094,18.3238582611084,246.0,34.0,98.0,249.35317993164062,108.97481536865234,46.988887786865234,96.8749008178711,0.0,0.0008769132653061224,7.0,26.0,0.0005181760204081633,24.606250762939453,376.49554443359375,51.50067901611328,62.64485168457031,73.33027648925781
12,light,1,114.63352966308594,25.042760848999023,248.0,47.0,155.0,505.135498046875,150.80101013183594,76.28296661376953,147.87498474121094,0.0,0.0010363520408163266,4.0,21.0,0.0004185267857142857,43.712440490722656,724.7181396484375,84.62946319580078,124.09339141845703,144.59967041015625
13,light,1,92.81211853027344,29.0311279296875,236.0,16.0,148.0,690.3939819335938,165.17510986328125,56.867652893066406,146.0647735595703,0.0,0.0031489158163265306,56.0,16.0,0.00031887755102040814,44.662662506103516,861.3524169921875,85.20352172851562,94.59101867675781,103.63532257080078
14,light,1,111.6580810546875,26.45779037475586,254.0,56.0,156.0,587.8283081054688,166.27505493164062,67.69242095947266,155.3624725341797,0.0,0.005779655612244898,80.0,44.0,0.0008769132653061224,31.926767349243164,467.42138671875,79.89319610595703,124.88915252685547,126.92837524414062
15,light,1,98.69573211669922,26.768451690673828,254.0,53.0,144.0,557.9861450195312,161.51309204101562,65.37374114990234,146.09828186035156,0.0,0.009925063775510204,98.0,53.0,0.0010562818877551021,34.99696731567383,701.2744750976562,70.18463134765625,110.50264739990234,112.71363067626953
16,light,1,94.99079132080078,32.237449645996094,254.0,48.0,160.0,831.7058715820312,175.60740661621094,58.034847259521484,156.29908752441406,0.0,0.018594547193877552,135.0,459.0,0.00914779974489796,39.66652297973633,1008.4442749023438,69.63480377197266,105.4249038696289,107.87551879882812
17,light,1,92.91398620605469,30.325756072998047,254.0,45.0,151.0,693.4776000976562,169.28334045410156,59.469696044921875,148.6432647705078,0.0,0.0176578443877551,125.0,338.0,0.0067362882653061226,40.050174713134766,1112.2039794921875,65.76576232910156,104.1086196899414,106.21133422851562
