filename,folder,label,brightness_mean,brightness_std,brightness_max,brightness_min,brightness_p95,block_mean_var,block_mean_max,block_mean_min,block_top3_mean,bright_block_count,bright_pixel_ratio,connected_component_count,largest_component_area,largest_component_ratio,sobel_mean,laplacian_var,rgb_r_mean,rgb_g_mean,rgb_b_mean,rgb_r_p95,rgb_red_ratio_mean,red_over_green_mean,red_over_blue_mean,red_dominance_mean,bright_red_pixel_ratio,bright_red_mean_dominance,bright_red_mean_intensity,bright_red_component_count,bright_red_largest_component_ratio
1,light,1,97.87213134765625,23.929649353027344,249.0,43.0,145.0,459.51910400390625,142.85858154296875,63.52592468261719,139.2129669189453,0.0,0.0008370535714285714,12.0,19.0,0.0003786670918367347,34.55208206176758,568.0010986328125,84.72881317138672,99.67288970947266,123.15383911132812,134.0,0.271923303604126,-14.944076538085938,-38.42502212524414,-38.4290885925293,1.992984693877551e-05,33.0,248.0,1.0,1.992984693877551e-05
2,light,1,99.18157958984375,28.469018936157227,247.0,41.0,156.0,667.80908203125,152.53826904296875,59.69679641723633,148.1598358154297,0.0,0.0011160714285714285,26.0,15.0,0.00029894770408163266,39.92518997192383,656.20556640625,96.33428192138672,97.51873779296875,115.30121612548828,150.0,0.31016239523887634,-1.1844507455825806,-18.966936111450195,-18.9875431060791,0.0,0.0,0.0,0.0,0.0
3,light,1,98.30911254882812,20.172653198242188,246.0,49.0,140.0,302.4563293457031,143.81919860839844,70.18814849853516,133.59429931640625,0.0,0.0007573341836734694,13.0,21.0,0.0004185267857142857,32.57438659667969,555.9686279296875,88.94569396972656,100.97257995605469,109.29206848144531,136.0,0.2940731942653656,-12.026885032653809,-20.34638023376465,-20.807716369628906,0.0,0.0,0.0,0.0,0.0
4,light,1,102.82402038574219,20.82904624938965,230.0,61.0,147.0,329.2923889160156,148.4241943359375,79.56404876708984,139.2353973388672,0.0,0.0015345982142857143,28.0,10.0,0.0001992984693877551,31.170923233032227,474.6789245605469,79.97050476074219,114.24830627441406,104.00617980957031,126.0,0.2644498348236084,-34.277801513671875,-24.035675048828125,-34.28334426879883,0.0,0.0,0.0,0.0,0.0
5,light,1,94.80026245117188,18.52797508239746,234.0,54.0,133.0,247.3328094482422,138.11061096191406,74.02479553222656,125.73149871826172,0.0,0.0011559311224489796,12.0,25.0,0.0004982461734693878,29.227863311767578,393.0096435546875,77.86499786376953,101.49330139160156,104.8221664428711,120.0,0.27026262879371643,-23.62830924987793,-26.957170486450195,-27.917888641357422,0.0,0.0,0.0,0.0,0.0
6,light,1,96.39807891845703,18.3315486907959,227.0,54.0,134.0,222.0518341064453,134.0439453125,76.72525024414062,125.38042449951172,0.0,0.0011160714285714285,13.0,22.0,0.0004384566326530612,33.08348083496094,486.9326477050781,79.69590759277344,105.2549057006836,94.63014221191406,118.0,0.2820300757884979,-25.558992385864258,-14.934231758117676,-25.56604766845703,3.985969387755102e-05,33.0,237.5,2.0,1.992984693877551e-05
7,light,1,71.91178894042969,20.744401931762695,247.0,19.0,117.0,337.8681335449219,126.195556640625,55.145957946777344,113.64411163330078,0.0,0.0006576849489795918,8.0,22.0,0.0004384566326530612,26.02281379699707,342.56158447265625,59.722476959228516,78.87342834472656,67.98262023925781,109.0,0.28336232900619507,-19.150949478149414,-8.260144233703613,-19.152782440185547,0.0,0.0,0.0,0.0,0.0
8,light,1,80.25729370117188,20.370317459106445,248.0,17.0,125.0,318.289794921875,134.67901611328125,63.594444274902344,120.34518432617188,0.0,0.0011160714285714285,10.0,25.0,0.0004982461734693878,25.913230895996094,349.8436584472656,65.18190002441406,88.8027114868164,75.74071502685547,115.0,0.27832818031311035,-23.62081527709961,-10.558813095092773,-23.620914459228516,0.0,0.0,0.0,0.0,0.0
9,light,1,85.64961242675781,20.058712005615234,249.0,14.0,130.0,309.82757568359375,139.6849365234375,69.89545440673828,125.69185638427734,0.0,0.0013552295918367347,16.0,28.0,0.0005580357142857143,26.16813087463379,349.888427734375,67.24687194824219,94.34925079345703,89.39215850830078,116.0,0.2633048892021179,-27.102378845214844,-22.145288467407227,-27.324058532714844,1.992984693877551e-05,47.0,234.0,1.0,1.992984693877551e-05
10,light,1,82.2197036743164,21.760221481323242,242.0,29.0,131.0,369.24334716796875,138.43605041503906,64.75757598876953,126.36246490478516,0.0,0.0013751594387755102,16.0,27.0,0.0005381058673469387,27.994701385498047,425.2147521972656,66.61778259277344,87.3642349243164,96.62551879882812,117.0,0.26113155484199524,-20.74645233154297,-30.007732391357422,-30.274553298950195,0.0,0.0,0.0,0.0,0.0
11,light,1,60.511619567871094,18.3238582611084,246.0,34.0,98.0,249.35317993164062,108.97481536865234,46.988887786865234,96.8749008178711,0.0,0.0008769132653061224,7.0,26.0,0.0005181760204081633,24.606250762939453,376.49554443359375,51.50067901611328,62.64485168457031,73.33027648925781,90.0,0.26987963914871216,-11.144172668457031,-21.829599380493164,-21.956771850585938,1.992984693877551e-05,31.0,235.0,1.0,1.992984693877551e-05
12,light,1,114.63352966308594,25.042760848999023,248.0,47.0,155.0,505.135498046875,150.80101013183594,76.28296661376953,147.87498474121094,0.0,0.0010363520408163266,4.0,21.0,0.0004185267857142857,43.712440490722656,724.7181396484375,84.62946319580078,124.09339141845703,144.59967041015625,119.0,0.23641502857208252,-39.46392822265625,-59.9702033996582,-60.01829528808594,0.0,0.0,0.0,0.0,0.0
13,light,1,92.81211853027344,29.0311279296875,236.0,16.0,148.0,690.3939819335938,165.17510986328125,56.867652893066406,146.0647735595703,0.0,0.0031489158163265306,56.0,16.0,0.00031887755102040814,44.662662506103516,861.3524169921875,85.20352172851562,94.59101867675781,103.63532257080078,145.0,0.29677772521972656,-9.387495994567871,-18.431800842285156,-18.582988739013672,7.971938775510203e-05,37.25,234.75,1.0,7.971938775510203e-05
14,light,1,111.6580810546875,26.45779037475586,254.0,56.0,156.0,587.8283081054688,166.27505493164062,67.69242095947266,155.3624725341797,0.0,0.005779655612244898,80.0,44.0,0.0008769132653061224,31.926767349243164,467.42138671875,79.89319610595703,124.88915252685547,126.92837524414062,138.0,0.23011934757232666,-44.99595260620117,-47.03517532348633,-47.1098747253418,0.00011957908163265306,51.16666793823242,243.1666717529297,5.0,3.985969387755102e-05
