R_mean,G_mean,B_mean,R_std,G_std,B_std,R_over_G,R_over_B,G_over_B,R_minus_G,R_minus_B,RGB_max_minus_min,pixel_R_over_G_mean,pixel_R_over_B_mean,pixel_G_over_B_mean,pixel_RG_normalized_diff_mean,pixel_RB_normalized_diff_mean,H_mean,S_mean,V_mean,S_std,V_std,gray_mean,gray_std,gray_max,gray_p95,gray_p99,bright_pixel_ratio,LBP_hist_00,LBP_hist_01,LBP_hist_02,LBP_hist_03,LBP_hist_04,LBP_hist_05,LBP_hist_06,LBP_hist_07,LBP_hist_08,LBP_hist_09,LBP_hist_10,LBP_hist_11,LBP_hist_12,LBP_hist_13,LBP_hist_14,LBP_hist_15,GLCM_contrast,GLCM_homogeneity,GLCM_energy,GLCM_correlation,entropy,Sobel_mean,Sobel_std,Laplacian_variance,Canny_edge_ratio,highlight_pixel_ratio,highlight_R_mean,highlight_G_mean,highlight_B_mean,highlight_R_std,highlight_G_std,highlight_B_std,highlight_H_mean,highlight_S_mean,highlight_V_mean,highlight_H_std,highlight_S_std,highlight_V_std,highlight_LBP_hist_00,highlight_LBP_hist_01,highlight_LBP_hist_02,highlight_LBP_hist_03,highlight_LBP_hist_04,highlight_LBP_hist_05,highlight_LBP_hist_06,highlight_LBP_hist_07,highlight_GLCM_contrast,highlight_GLCM_homogeneity,highlight_GLCM_energy,highlight_GLCM_correlation,highlight_entropy,highlight_Sobel_mean,highlight_Sobel_std,highlight_Laplacian_variance,highlight_Canny_edge_ratio,highlight_gray_over_global_gray,highlight_saturation_over_global_saturation,highlight_entropy_minus_global_entropy,block_nonempty_ratio,block_coverage_std,block_gray_var,block_gray_range,block_rg_ratio_var,block_rg_ratio_range,block_value_var,block_value_range,HOG_hist_00,HOG_hist_01,HOG_hist_02,HOG_hist_03,HOG_hist_04,HOG_hist_05,HOG_hist_06,HOG_hist_07,HOG_hist_08,Sobel_x_over_y,dominant_direction_ratio,gradient_direction_entropy,highlight_component_count,highlight_total_area_ratio,highlight_largest_area_ratio,highlight_bbox_aspect_ratio,highlight_circularity,highlight_boundary_complexity,clahe_LBP_hist_00,clahe_LBP_hist_01,clahe_LBP_hist_02,clahe_LBP_hist_03,clahe_LBP_hist_04,clahe_LBP_hist_05,clahe_LBP_hist_06,clahe_LBP_hist_07,clahe_GLCM_contrast,clahe_GLCM_homogeneity,clahe_GLCM_energy,clahe_GLCM_correlation,clahe_Sobel_mean,clahe_Sobel_std,clahe_Laplacian_variance,clahe_Canny_edge_ratio,ms256_gray_mean,ms256_gray_std,ms256_gray_max,ms256_gray_p95,ms256_gray_p99,ms256_bright_pixel_ratio,ms256_LBP_hist_00,ms256_LBP_hist_01,ms256_LBP_hist_02,ms256_LBP_hist_03,ms256_LBP_hist_04,ms256_LBP_hist_05,ms256_LBP_hist_06,ms256_LBP_hist_07,ms256_GLCM_contrast,ms256_GLCM_homogeneity,ms256_GLCM_energy,ms256_GLCM_correlation,center_gray_mean,center_gray_std,center_gray_max,center_gray_p95,center_gray_p99,center_bright_pixel_ratio,center_LBP_hist_00,center_LBP_hist_01,center_LBP_hist_02,center_LBP_hist_03,center_LBP_hist_04,center_LBP_hist_05,center_LBP_hist_06,center_LBP_hist_07,center_GLCM_contrast,center_GLCM_homogeneity,center_GLCM_energy,center_GLCM_correlation,label
91.337395,77.243866,88.36904,65.00688,44.728523,43.361996,1.182455,1.0335904,0.8741055,14.093529,2.9683533,14.093529,75016.13,314869.25,60910.633,0.04487599,-0.03035965,99.10201,87.669914,108.64431,52.568653,63.251423,82.71671,48.566395,245.0,170.0,211.0,0.0063979775,0.07108156,0.08093013,0.002115129,0.029585369,0.017952159,0.0062792897,0.003397426,0.098161824,0.019591384,0.008546444,0.0010245157,0.0061867526,0.09697867,0.02150161,0.035904318,0.5007634,0.5074009,0.9450064,0.3885314,0.9707948,6.7004666,21.49826,61.76686,4532.608,0.024416521,0.10001999,229.32268,156.36092,99.2943,24.893797,33.69101,13.98223,12.671138,143.71382,229.32384,5.356981,16.804905,24.894941,0.15948308,0.053353548,0.01848242,0.1399177,0.05046567,0.00498159,0.14157823,0.43173778,0.26471472,0.907925,0.33944446,0.9560269,6.577455,26.489758,23.33648,544.9336,0.004043029,2.0755227,1.6392604,-0.12301166,0.93749994,0.3584427,1498.1918,127.82386,0.036382895,0.673943,2591.0786,171.53549,0.17401312,0.094516724,0.09691314,0.09604433,0.19349818,0.087964416,0.07954574,0.07146866,0.10603569,0.9825848,0.19349818,3.0844567,8.0,0.10001999,0.04708189,1.1944444,0.35933498,34.971188,0.21614636,0.045739666,0.034846753,0.11432934,0.04482091,0.011600161,0.11286858,0.41964823,0.68017507,0.90058094,0.37368044,0.96388686,31.829002,66.19221,5409.7397,0.032374695,82.93253,47.975967,245.0,170.0,211.0,0.0061216583,0.1711608,0.04187977,0.030338733,0.09597001,0.034034006,0.0055429107,0.12606774,0.49500602,0.5202915,0.9174734,0.37391955,0.9693374,90.5145,48.559208,245.0,181.0,217.0,0.008842518,0.16535982,0.028559474,0.024499472,0.0723517,0.035067875,0.010227484,0.13745119,0.526483,0.6875289,0.9262652,0.40963736,0.9612686,1
110.75376,132.8649,137.5242,52.732746,52.003532,52.445946,0.8335818,0.8053402,0.9661201,-22.111137,-26.77044,26.77044,21942.926,16465.383,21065.805,-0.066180214,-0.08917326,94.273994,69.5397,137.6535,57.64212,52.420868,126.78037,51.956547,255.0,234.0,254.0,0.061836038,0.22423275,0.078923985,0.01685766,0.04915599,0.036504313,0.012359285,0.02023144,0.049459632,0.04254338,0.020838723,0.009266652,0.033119287,0.051540133,0.018814454,0.07377335,0.26237896,3.0269675,0.64149463,0.2531264,0.83270216,6.661727,97.37005,109.7985,29864.068,0.1514153,0.057192985,228.27553,229.71231,231.8021,27.829908,27.384752,26.807892,98.21175,4.717733,232.00113,41.339466,3.8730571,26.807953,0.3920805,0.031807855,0.095098995,0.06945797,0.035702694,0.032781564,0.081142485,0.26192793,4.051011,0.5469413,0.36215866,0.22604343,5.8607764,128.00679,82.025764,41791.957,0.25900683,1.8103071,0.06784229,-0.8009503,0.49999997,0.011458017,526.9042,63.15226,0.0047475407,0.18909502,428.1024,57.598053,0.15167734,0.095603965,0.10091703,0.114062816,0.114233434,0.109383345,0.09505579,0.082989186,0.13607708,1.0835053,0.15167734,3.146706,45.0,0.057192985,0.03670579,2.6037736,0.06692888,187.75708,0.30877972,0.06513647,0.04905478,0.07036583,0.061740197,0.043476794,0.06983727,0.33160895,7.328495,0.4414365,0.13585055,0.6646323,171.98927,130.18016,71924.24,0.3412917,127.36084,48.705788,255.0,216.0,248.0,0.04539988,0.29713604,0.07334313,0.0447494,0.076693594,0.06994676,0.03859923,0.07958509,0.31994677,2.5362735,0.6687052,0.28115726,0.832294,145.61096,56.999226,255.0,251.0,254.0,0.12015638,0.29566714,0.07252384,0.04754139,0.0670653,0.06828837,0.045412336,0.07383751,0.3296641,4.4608417,0.57841843,0.21261416,0.7934672,0
128.9388,78.25013,39.421757,109.034,79.269844,53.360153,1.6477774,3.2707522,1.9849478,50.688667,89.517044,89.517044,622653.7,3.05801e+06,824832.25,0.39464313,0.54229426,16.597275,206.62842,128.96611,57.209263,109.03997,88.94669,83.0896,255.0,234.0,254.0,0.06538791,0.0802346,0.13506556,0.0014662506,0.056621145,0.014219222,0.006870919,0.005285322,0.102023765,0.029631903,0.009922766,0.0005285322,0.0053705694,0.08809438,0.013179206,0.06304878,0.3884371,0.69699967,0.92339444,0.38421622,0.98645574,6.827657,30.070675,71.849304,4265.9907,0.020732103,0.100092284,253.95934,234.20316,161.54692,3.6377575,20.507399,62.843807,31.482054,93.14686,254.1136,27.218142,62.504745,3.61694,0.14666411,0.03144172,0.033550613,0.10659509,0.04083589,0.007285276,0.18673313,0.44689417,0.2948945,0.9090073,0.5051527,0.8745847,5.512935,27.474346,31.57719,1013.26984,0.018021472,2.6065454,0.45079404,-1.3147218,0.43749997,0.14803344,3891.6702,157.5027,2.6055515,4.9215107,8155.6597,229.9776,0.0694805,0.07921596,0.1111192,0.19640616,0.2506507,0.10090327,0.07705332,0.05880501,0.056365855,0.6204901,0.2506507,2.9639354,4.0,0.100092284,0.0926933,2.6216216,0.23301362,53.92977,0.2420507,0.06282713,0.023800999,0.09779551,0.058121495,0.009274888,0.09822174,0.40790752,0.7639042,0.87434214,0.3121096,0.98392457,42.96936,70.36099,4274.508,0.040543534,89.4065,82.892365,255.0,232.0,254.0,0.06394387,0.25414094,0.06506176,0.01698484,0.107313305,0.04126895,0.0051937113,0.10626053,0.40377596,0.7823619,0.88376766,0.3722606,0.9847803,72.12884,79.213394,255.0,217.0,254.0,0.04505544,0.21961434,0.07570602,0.021464096,0.13527034,0.027077334,0.0061367536,0.061716545,0.45301458,0.72556436,0.92633533,0.4301019,0.9845855,1
75.65474,46.302597,45.581837,42.37659,21.493048,26.189075,1.63392,1.6597562,1.0158124,29.352142,30.072903,30.072903,36510.402,130573.01,37384.027,0.19091704,0.22008549,102.26978,118.55057,75.66141,57.94884,42.365177,55.003864,26.216682,226.0,90.0,129.0,2.2411727e-05,0.20204535,0.08328004,0.01031733,0.052277114,0.052961916,0.015988182,0.020527128,0.06255483,0.03482877,0.021432655,0.0057331077,0.035406042,0.052509155,0.021704312,0.06155309,0.266881,0.32479894,0.8715149,0.34770808,0.93983907,6.574214,25.250069,33.867172,1764.7122,0.015841035,0.076653704,175.56326,72.655655,66.78349,54.72374,20.901428,13.382518,88.88992,147.87502,175.56326,87.22193,48.76073,54.72374,0.22821805,0.05570316,0.06495648,0.08639487,0.049931288,0.03930371,0.08364636,0.3918461,0.52715534,0.8643402,0.5059001,0.8727182,5.8868403,35.310524,46.847496,3044.2744,0.039670177,1.8679976,1.2473581,-0.6873736,0.99999994,0.36787128,429.3654,65.68327,0.14163904,1.1806546,644.7313,85.811935,0.13497685,0.10225478,0.1012058,0.109852076,0.11841589,0.10461128,0.0972073,0.10259321,0.12888284,1.0550004,0.13497685,3.160914,19.0,0.076653704,0.023633165,1.0888889,0.17497353,71.818695,0.28861925,0.06214168,0.06832755,0.079923935,0.057947967,0.042672884,0.07454172,0.325825,0.972138,0.7168976,0.24532682,0.8761481,56.4722,55.447487,7905.99,0.08664746,55.071716,25.906046,214.0,89.0,127.0,0.0,0.27500737,0.06807719,0.06610427,0.10279611,0.049731273,0.029162982,0.07132004,0.33780077,0.32617506,0.8889378,0.36745852,0.9380676,57.96724,28.471195,226.0,109.0,146.0,6.1035156e-05,0.2916565,0.06387329,0.06480408,0.08213806,0.055358887,0.038772583,0.072769165,0.33062744,0.420099,0.842472,0.3165521,0.93562347,1
111.42576,136.95381,141.50316,44.617455,41.311882,41.42961,0.813601,0.7874436,0.96784985,-25.528053,-30.0774,30.0774,8035.911,8695.943,10500.301,-0.07437986,-0.09131703,94.62897,65.03393,141.60005,41.835503,41.43494,129.8374,41.993702,255.0,221.0,253.0,0.05098305,0.22801174,0.079031706,0.01740156,0.05010713,0.036630597,0.012558291,0.02091248,0.048225634,0.042545147,0.021713689,0.009308439,0.033803858,0.052942872,0.02053438,0.07476459,0.2515079,2.558457,0.6625474,0.2959245,0.79414696,6.532793,85.67673,98.8627,24176.994,0.12323329,0.06310175,220.25021,222.56137,224.98926,32.657078,31.703035,30.948145,99.87908,6.308368,225.16122,36.661076,5.1931343,30.98138,0.38053867,0.042137273,0.07971329,0.07254561,0.037141617,0.038010426,0.07319722,0.2767159,5.1440325,0.49833426,0.3017975,0.2841298,6.184168,148.29,88.65101,51445.434,0.3038662,1.7109287,0.09700119,-0.3486255,0.49999997,0.0016413663,398.48907,55.64216,0.0049398597,0.19277853,314.19592,50.216553,0.1429881,0.09875211,0.103010155,0.11302847,0.117583975,0.11074061,0.09765298,0.08487853,0.13136505,1.0577458,0.1429881,3.153514,50.0,0.06310175,0.046239417,2.1866667,0.0872631,144.00554,0.31193173,0.06690553,0.04943195,0.07003835,0.062773444,0.043976523,0.07246899,0.3224735,6.354487,0.45519802,0.14355804,0.60518694,155.59598,120.754425,60612.65,0.32800093,129.90309,39.450607,255.0,209.0,245.0,0.038530562,0.295644,0.06845691,0.04464739,0.07584982,0.07338552,0.038414147,0.08306154,0.3205407,2.2471714,0.6958829,0.33182862,0.791984,144.99803,47.75204,255.0,249.0,254.0,0.09800056,0.29813161,0.07378141,0.04624163,0.067643456,0.067841455,0.04642163,0.07626539,0.3236734,3.6910896,0.60988116,0.24786717,0.7696823,0
134.69159,58.805836,24.144295,56.915035,23.330057,8.782619,2.290446,5.578609,2.4355996,75.88576,110.547295,110.547295,146427.27,142374.98,17744.55,0.33390474,0.4774257,12.683215,210.42651,134.75067,18.935877,56.776012,77.546776,31.338774,173.0,131.0,150.0,0.0,0.21695273,0.07975273,0.011861818,0.038727272,0.059716363,0.019141817,0.020283636,0.05037091,0.027061818,0.022145454,0.0067054546,0.039272726,0.045229092,0.02496,0.05101091,0.28680727,0.26161104,0.9045685,0.39014223,0.9598952,6.3598733,16.329302,28.940542,1445.4689,0.006087273,0.09281472,234.94737,102.76958,35.3446,11.566702,12.690077,4.581521,10.090412,216.74315,234.94737,1.0911058,3.6806839,11.566702,0.30170298,0.049346536,0.07231683,0.07120792,0.058217824,0.040158417,0.082376234,0.32467327,0.20765296,0.89635473,0.47146714,0.8394378,5.333491,15.699406,9.814976,661.8021,0.0,1.7353512,1.0300182,-1.0263826,0.99999994,0.3597601,578.3679,87.40083,0.045250263,0.6549635,1928.2616,152.73615,0.12511201,0.08388036,0.08380565,0.08661786,0.24064657,0.09286659,0.09316452,0.088319436,0.105586976,0.84673053,0.24064657,3.064172,2.0,0.09281472,0.09266401,2.7473683,0.25956827,48.412586,0.30789092,0.053585455,0.073454544,0.065563634,0.05325818,0.052756365,0.06619637,0.32729456,0.6482486,0.7644922,0.29309884,0.92015064,35.934147,32.970577,5139.89,0.006996364,77.43192,31.451597,170.0,131.0,149.0,0.0,0.2829551,0.047280565,0.07201328,0.08701605,0.04696012,0.028956797,0.07976229,0.35505578,0.20002523,0.93660885,0.42309198,0.96942306,99.20024,22.65552,173.0,143.0,155.0,0.0,0.30065918,0.049575806,0.07772827,0.06838989,0.05354309,0.045700073,0.07330322,0.33110046,0.21089368,0.89471895,0.36734796,0.95007604,1
106.58771,131.84866,136.24316,35.214226,29.80108,29.93032,0.80840945,0.7823343,0.9677452,-25.260956,-29.655457,29.655457,0.7906288,0.7643361,27.905577,-0.07454775,-0.08939185,95.58527,60.31629,136.30045,25.821333,29.999537,124.793,31.218605,255.0,187.0,251.0,0.031959966,0.22238651,0.07199685,0.01758039,0.053073518,0.039271012,0.012588427,0.020849584,0.049736496,0.04594505,0.021019148,0.009461668,0.03767711,0.055325326,0.020618977,0.07337371,0.24909623,2.7122228,0.6657813,0.3143042,0.63080996,6.3419495,80.40307,91.06137,24281.916,0.124710895,0.043120693,203.40565,206.69087,211.84677,38.635487,37.62551,36.57586,110.00422,11.749922,212.03952,17.965746,6.8675447,36.56287,0.36194897,0.04524362,0.07047564,0.06293503,0.042053364,0.05336427,0.068445474,0.29553366,8.381617,0.38981208,0.18856817,0.21725059,6.684257,184.25557,96.02347,86396.44,0.3198956,1.6531944,0.1948051,0.3423076,0.99999994,0.43364337,447.8546,75.46968,0.007493321,0.3110025,385.71674,70.09178,0.13063638,0.11498767,0.11056709,0.11748372,0.113620564,0.10344674,0.096606724,0.09234959,0.120301515,1.0375308,0.13063638,3.1624062,76.0,0.043120693,0.024705827,1.8441558,0.051434215,244.31929,0.3005555,0.06829358,0.0529243,0.06967044,0.06690993,0.0475186,0.076263085,0.31786457,6.6412797,0.4619007,0.15743795,0.4398872,150.863,121.25219,62445.324,0.30940673,124.904366,27.660501,254.0,184.0,226.0,0.014493534,0.2905649,0.0761309,0.049661275,0.07498361,0.06826377,0.04351508,0.078152314,0.31872815,1.7484299,0.7026171,0.34607664,0.6966767,137.4196,33.74401,255.0,228.0,252.0,0.056777954,0.28378296,0.078125,0.05029297,0.066101074,0.07098389,0.052459717,0.07609558,0.3221588,3.799459,0.6047977,0.27960777,0.5717622,0
59.63479,32.696945,27.846306,44.034073,33.3088,23.677576,1.8238642,2.1415691,1.1741933,26.937843,31.788483,31.788483,1.096999e+06,1.0700684e+06,294370.4,0.3186105,0.3178845,95.80952,158.482,59.70422,58.21328,44.073925,40.1938,34.567184,252.0,99.0,181.0,0.0036918414,0.24398124,0.057861485,0.02269753,0.03722395,0.04200765,0.012284843,0.019429086,0.031012654,0.039277688,0.021407684,0.016392313,0.049608976,0.03672304,0.014357363,0.06957654,0.28615794,3.1861665,0.5270903,0.21000266,0.6602694,6.708212,85.2905,64.6672,31116.959,0.18695252,0.035268087,190.76741,131.53484,75.561005,43.609913,52.520817,46.22376,15.397747,160.11595,190.98198,8.579206,40.98949,43.507202,0.29983678,0.076474704,0.046164606,0.0918629,0.061785962,0.037304733,0.07973887,0.30683142,4.104244,0.55142397,0.14420189,0.770073,7.3936872,112.49232,93.87994,30389.05,0.2268594,3.5548306,1.01031,0.6854751,0.99999994,0.33962336,172.67303,51.393486,0.044590835,0.69751155,466.9481,84.63477,0.11474554,0.10886949,0.10904561,0.114335984,0.11327409,0.112818204,0.10688577,0.10835935,0.111665964,0.99630153,0.11474554,3.1694944,31.0,0.035268087,0.0145595465,1.2272727,0.31203628,40.27215,0.3098448,0.056953583,0.056646775,0.050873775,0.057629813,0.065537944,0.05137469,0.35113862,12.162596,0.31810004,0.10033698,0.4679069,174.96474,99.76192,123201.99,0.35910937,40.242905,30.16971,251.0,91.0,167.0,0.0026113484,0.30450395,0.059428975,0.05884733,0.061022177,0.06071871,0.05530688,0.060566977,0.33960497,1.2154051,0.6868647,0.29368442,0.8302698,49.0562,37.31483,252.0,112.0,186.0,0.0042877197,0.30592346,0.060836792,0.054901123,0.052200317,0.06022644,0.0635376,0.050872803,0.35150146,2.9351444,0.52266455,0.18297684,0.73465645,1
126.7267,77.92264,39.687748,110.14478,80.70802,54.47124,1.6263143,3.1930938,1.9633927,48.80406,87.038956,87.038956,637029.3,3.167816e+06,851272.06,0.38780522,0.53539854,16.923912,205.96333,126.77019,59.32198,110.142654,88.12388,84.40292,255.0,236.0,254.0,0.06828554,0.08196486,0.1361764,0.0016187924,0.053851828,0.013453963,0.0066910083,0.0050902027,0.101768084,0.033113297,0.009640808,0.0005935572,0.0056837597,0.087648615,0.014425239,0.06084861,0.38743097,0.75937456,0.92132413,0.39500052,0.98568827,6.747946,32.233154,77.36388,5207.454,0.024030074,0.09849307,253.9451,236.34062,165.58385,3.9817903,19.137552,62.402176,31.693302,89.13324,254.14041,26.504356,62.05314,3.9532204,0.1458118,0.028955532,0.032885212,0.11127198,0.04239917,0.0059979316,0.19048604,0.44219235,0.29798096,0.91170913,0.5309704,0.8536639,5.3986187,26.970285,32.315243,1169.4307,0.01302999,2.6502674,0.43276265,-1.3493273,0.43749997,0.14779295,3874.9548,157.04112,2.6532364,4.948169,7939.5903,227.03436,0.06491367,0.07483423,0.10823281,0.1914709,0.2730881,0.10064437,0.07012074,0.05902896,0.05766621,0.5966671,0.2730881,2.9317691,2.0,0.09849307,0.09131146,2.6216216,0.2211227,56.829853,0.24754933,0.06444592,0.02257316,0.09856647,0.061765924,0.010558124,0.09552674,0.39901432,0.8728935,0.8737525,0.32518113,0.98194677,45.02869,76.734375,5355.2554,0.04457075,88.32225,84.19358,255.0,235.0,254.0,0.06662988,0.25833705,0.06410257,0.017563362,0.1046391,0.04483474,0.005187491,0.10589892,0.39943677,1.0240316,0.8768124,0.37917364,0.98065007,70.50649,80.400116,255.0,218.0,254.0,0.046662953,0.21718669,0.06808667,0.019955384,0.1365095,0.02823702,0.0060202302,0.06411392,0.4598906,0.768086,0.9251146,0.45094582,0.9841611,1
130.29628,146.45366,150.10481,41.43933,38.46784,38.24178,0.8896758,0.8680353,0.97567594,-16.15738,-19.808533,19.808533,6993.0737,5657.3203,4804.573,-0.041837804,-0.05868971,95.73888,42.645126,150.27103,39.72365,38.337936,142.01454,39.142654,255.0,217.0,251.0,0.047277424,0.21770324,0.088503435,0.014489698,0.058354896,0.030902412,0.010547835,0.019287653,0.05673215,0.04878454,0.021191504,0.0076856734,0.029145503,0.05392749,0.01693659,0.082038015,0.24376936,2.736073,0.63400364,0.23150207,0.7450758,6.803629,100.58457,95.44453,25474.639,0.20258744,0.032854017,222.57625,224.09143,225.60909,26.301792,25.78906,25.699213,95.91678,5.710632,226.5356,39.804035,5.7249637,25.537083,0.38963038,0.04106776,0.09086242,0.07546201,0.040041067,0.037474334,0.06365503,0.261807,4.0022073,0.5027616,0.26691723,0.18455604,6.257386,117.30063,72.86544,39563.133,0.2063655,1.5758946,0.13391054,-0.5462429,0.99999994,0.39170885,409.9684,71.056885,0.003169125,0.18773049,361.91788,68.02562,0.11722598,0.09099686,0.10242503,0.11036207,0.124909066,0.12401377,0.116668835,0.09893689,0.11446152,0.9707149,0.124909066,3.162881,128.0,0.032854017,0.0013169199,1.5882353,0.42685577,29.439384,0.31025714,0.07163712,0.042504393,0.07706756,0.06735665,0.037035618,0.07089602,0.3232455,6.949758,0.43971938,0.117028765,0.6211605,184.60829,128.4976,64806.066,0.346705,142.06677,36.01896,255.0,203.0,234.0,0.024771217,0.31415987,0.071559206,0.040107157,0.07681409,0.06808171,0.03768579,0.06803019,0.323562,2.2502925,0.6284853,0.23326214,0.7356942,152.25513,28.912504,255.0,222.0,251.0,0.052841187,0.30596924,0.06896973,0.042404175,0.07626343,0.073150635,0.038742065,0.06813049,0.32637024,2.6978128,0.62080485,0.27613673,0.59209985,0
