group,importance_sum,importance_mean,feature_count
highlight_core,0.451922629969144,0.011587759742798564,39
color_relationships,0.33353301123276974,0.01961958889604528,17
multiscale_256,0.05529809400040552,0.003072116333355862,18
clahe_texture,0.0428200708142004,0.002676254425887525,16
base_edges,0.04214230275362352,0.01053557568840588,4
multiscale_center,0.029778591682314413,0.001654366204573023,18
base_texture,0.029570259570144943,0.0014081075985783306,21
hsv_features,0.005400840028752905,0.001080168005750581,5
directional_texture,0.004911165953836926,0.00040926382948641054,12
spatial_blocks,0.002402439809632706,0.00030030497620408826,8
brightness_features,0.002220594185174911,0.0003700990308624852,6
