feature,importance,group
pixel_RB_normalized_diff_mean,0.06375634664005156,color_relationships
highlight_Laplacian_variance,0.05607250584402315,highlight_core
highlight_Sobel_mean,0.05224695599424144,highlight_core
pixel_RG_normalized_diff_mean,0.05208792574389641,color_relationships
highlight_Canny_edge_ratio,0.05090485429884461,highlight_core
highlight_GLCM_homogeneity,0.049180045744316225,highlight_core
R_minus_B,0.04087832043052025,color_relationships
R_over_G,0.03905927401415049,color_relationships
R_minus_G,0.038953642618930126,color_relationships
R_over_B,0.035543789829016736,color_relationships
highlight_LBP_hist_00,0.03473417145754296,highlight_core
highlight_GLCM_contrast,0.032835496751671404,highlight_core
Sobel_std,0.03267881535721987,base_edges
B_mean,0.030260583586198785,color_relationships
ms256_GLCM_correlation,0.027376580397328626,multiscale_256
highlight_Sobel_std,0.024802160969776343,highlight_core
highlight_LBP_hist_02,0.023959012588465424,highlight_core
highlight_component_count,0.02166682290013714,highlight_core
highlight_saturation_over_global_saturation,0.018473620747745313,highlight_core
highlight_LBP_hist_06,0.017319194875274092,highlight_core
clahe_GLCM_correlation,0.01614386515884193,clahe_texture
ms256_GLCM_contrast,0.013249260795554859,multiscale_256
G_mean,0.01241365405080986,color_relationships
pixel_R_over_B_mean,0.012112895927523933,color_relationships
highlight_total_area_ratio,0.011395241962801625,highlight_core
highlight_H_mean,0.011390712770410956,highlight_core
center_GLCM_correlation,0.010418727762878756,multiscale_center
GLCM_correlation,0.010301691851887434,base_texture
center_gray_mean,0.008916508911210973,multiscale_center
highlight_GLCM_correlation,0.008916209525151632,highlight_core
highlight_LBP_hist_03,0.008663617235931745,highlight_core
GLCM_contrast,0.008484749061725853,base_texture
highlight_LBP_hist_07,0.007660587811367174,highlight_core
highlight_S_mean,0.007457701103671876,highlight_core
clahe_Canny_edge_ratio,0.007446051764759137,clahe_texture
clahe_GLCM_homogeneity,0.00688272969921736,clahe_texture
Sobel_mean,0.006259873183326503,base_edges
G_over_B,0.006101791577360801,color_relationships
center_GLCM_contrast,0.005931892487172135,multiscale_center
highlight_pixel_ratio,0.004280284499136783,highlight_core
V_std,0.004198488869652075,hsv_features
HOG_hist_04,0.003978257609302441,directional_texture
ms256_LBP_hist_03,0.0038149359778738923,multiscale_256
clahe_GLCM_contrast,0.0036284458911442392,clahe_texture
GLCM_homogeneity,0.002918126555676026,base_texture
Laplacian_variance,0.002850413330074927,base_edges
clahe_Laplacian_variance,0.0023755751515195525,clahe_texture
ms256_LBP_hist_05,0.002042531030398591,multiscale_256
highlight_entropy_minus_global_entropy,0.002001338518246938,highlight_core
clahe_Sobel_mean,0.0019743463285599033,clahe_texture
LBP_hist_00,0.0016722223684581168,base_texture
ms256_gray_mean,0.0014638242758931788,multiscale_256
highlight_GLCM_energy,0.0014583397245134654,highlight_core
ms256_LBP_hist_04,0.0013748016661348065,multiscale_256
LBP_hist_14,0.0013670323783679674,base_texture
highlight_circularity,0.001347177981458334,highlight_core
ms256_gray_p99,0.0013365549990864505,multiscale_256
entropy,0.001280669952468983,base_texture
ms256_GLCM_homogeneity,0.0012520829903565284,multiscale_256
R_std,0.0012278865277923223,color_relationships
center_GLCM_homogeneity,0.0012221029369959995,multiscale_center
block_rg_ratio_range,0.001172897003315975,spatial_blocks
gray_mean,0.001072174143909302,brightness_features
clahe_LBP_hist_03,0.0009778305684802506,clahe_texture
ms256_bright_pixel_ratio,0.0009086382638090318,multiscale_256
ms256_LBP_hist_06,0.0008970121753078356,multiscale_256
highlight_entropy,0.0008488778899765977,highlight_core
LBP_hist_04,0.0008309687720074457,base_texture
clahe_GLCM_energy,0.0007256194674796694,clahe_texture
highlight_V_std,0.0007216710162104973,highlight_core
LBP_hist_10,0.000719160103553542,base_texture
center_gray_p95,0.0007106591607533719,multiscale_center
center_GLCM_energy,0.0006343076563156051,multiscale_center
highlight_LBP_hist_04,0.0006109462551315665,highlight_core
