feature,importance
pixel_RB_normalized_diff_mean,0.058633748402833405
highlight_Laplacian_variance,0.05386893659018012
R_minus_B,0.053333333333333316
pixel_RG_normalized_diff_mean,0.053040868692040645
highlight_Sobel_mean,0.046666666666666655
highlight_GLCM_homogeneity,0.043610894941634226
Sobel_std,0.042835415704190416
ms256_GLCM_contrast,0.03860705886164381
R_over_B,0.033583418979102435
R_over_G,0.03333333333333333
highlight_Canny_edge_ratio,0.03333333333333333
highlight_GLCM_contrast,0.031466267199150494
R_minus_G,0.031067972577516787
highlight_LBP_hist_00,0.029490359558558266
B_mean,0.028846368761047927
highlight_component_count,0.024125110737726503
highlight_LBP_hist_02,0.02329631109352798
ms256_GLCM_correlation,0.022525676085983225
center_GLCM_correlation,0.022220436446389574
highlight_LBP_hist_06,0.018135530681779845
highlight_LBP_hist_07,0.017675989368338398
pixel_R_over_B_mean,0.01627130689938045
GLCM_correlation,0.015907769747235255
clahe_GLCM_homogeneity,0.013133130810638284
highlight_pixel_ratio,0.011758718410070796
highlight_total_area_ratio,0.01151220766887865
highlight_S_mean,0.010468505473293022
highlight_H_mean,0.010245234102349406
highlight_GLCM_correlation,0.009535080815457073
highlight_Sobel_std,0.009534959349593497
clahe_GLCM_correlation,0.009299986188481192
highlight_GLCM_energy,0.00905841946500193
clahe_Sobel_std,0.008894022729151194
center_gray_mean,0.008294629105801766
highlight_saturation_over_global_saturation,0.008130748702868913
G_over_B,0.008070568098796325
LBP_hist_14,0.006553412161201855
G_mean,0.006006459437670821
LBP_hist_02,0.005956261128624848
GLCM_contrast,0.005577379064106784
Laplacian_variance,0.0055364115937849715
clahe_Laplacian_variance,0.0037635407648288523
clahe_Sobel_mean,0.0033333333333333335
center_LBP_hist_01,0.0031276631884219358
highlight_S_std,0.003095080884780452
highlight_boundary_complexity,0.0030946843853820625
H_mean,0.0030725462304409673
ms256_LBP_hist_05,0.0028726460261729978
clahe_GLCM_contrast,0.0028637261356155397
highlight_entropy,0.0028617780661907882
V_std,0.0028273854750849275
R_std,0.0027752898919166493
HOG_hist_04,0.0026666666666666674
highlight_entropy_minus_global_entropy,0.0026018018018018037
highlight_V_std,0.0024693205627057788
clahe_GLCM_energy,0.0022538860103626965
S_mean,0.0021758942811574396
ms256_gray_p99,0.0016144680098811525
LBP_hist_00,0.0013955342902711306
highlight_LBP_hist_04,0.0011496275760551381
clahe_Canny_edge_ratio,0.00105596107055961
center_GLCM_contrast,0.0010407569141193587
block_value_range,0.0009593341188555558
LBP_hist_10,0.0009187496187274648
pixel_G_over_B_mean,0.0009057851239669449
V_mean,0.0008764367816091962
gray_p99,0.0008640127706275556
block_rg_ratio_range,0.0007646539727794219
